,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Totall,TO
1970-01-01 00:00:00.000014856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,1,2,0,0.0,0.0
1970-01-01 00:00:00.000014857,0,0,0,0,1,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,138.0
1970-01-01 00:00:00.000014858,0,0,0,0,2,0,0,0,0,0,0,0,54,107,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0
1970-01-01 00:00:00.000014859,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,14,0,3,0,0,29,2,7,0,28,20,31,0,14,9,0,0.0,0.0
1970-01-01 00:00:00.000014860,0,58,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,65,15,2,49,1,6,43,52,90,23,0,48,0.0,5810011.0
1970-01-01 00:00:00.000014861,1,0,0,0,0,1,12,0,17,4,23,8,0,0,0,1,28,2,4,11,4,7,7,4,20,0,0,0,0,11,0,0.0,100001.0
1970-01-01 00:00:00.000014862,0,0,0,0,0,0,1,27,6,25,0,0,7,6,7,3,0,1,18,10,11,47,6,11,3,0,8,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000014863,4,133,126,3,10,2,0,0,0,1,0,5,4,23,24,0,3,0,1,0,5,0,0,0,0,5,0,5,0,2,3,0.0,41331263102.0
1970-01-01 00:00:00.000014864,73,0,1,0,0,1,0,4,5,12,12,0,0,0,5,18,0,3,16,30,24,0,0,12,0,0,0,0,0,0,0,0.0,7301001.0
1970-01-01 00:00:00.000014865,5,9,0,0,2,0,0,15,0,18,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,55,158,1,0,0.0,590020.0
1970-01-01 00:00:00.000014866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000014867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,23,0,1,0.0,100000.0
1970-01-01 00:00:00.000015279,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,106000.0
1970-01-01 00:00:00.000015280,18,0,48,10,6,4,0,71,52,8,32,0,0,0,0,0,0,0,0,6,40,0,27,7,0,0,23,0,0,49,1,0.0,180481064.0
1970-01-01 00:00:00.000015281,17,0,5,20,16,61,10,23,0,7,0,18,4,6,49,6,59,6,16,29,11,1,0,0,0,0,3,9,1,9,0,0.0,1705201661.0
1970-01-01 00:00:00.000015282,40,0,1,0,0,0,0,1,0,1,3,8,11,15,0,0,0,2,0,0,21,4,12,1,12,26,5,4,10,23,2,0.0,4001000.0
1970-01-01 00:00:00.000015283,45,0,13,0,12,9,0,5,58,0,4,5,1,5,0,5,2,6,0,10,1,0,4,1,3,10,1,1,0,4,0,0.0,450130129.0
1970-01-01 00:00:00.000015284,13,6,0,0,0,0,15,0,19,10,2,11,1,23,0,0,2,54,7,0,0,0,0,19,25,0,0,0,0,2,0,0.0,1360000.0
1970-01-01 00:00:00.000015285,7,3,14,13,10,6,0,0,11,6,0,0,0,8,10,1,1,21,54,0,0,0,0,0,0,0,0,1,0,0,11,0.0,731413106.0
1970-01-01 00:00:00.000015286,0,0,0,0,0,0,3,1,0,0,1,6,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,5,1,0,0.0,0.0
1970-01-01 00:00:00.000015697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015698,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,8,12,0,0,0,0.0,1100.0
1970-01-01 00:00:00.000015699,0,0,23,10,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,25,0,0.0,2310015.0
1970-01-01 00:00:00.000015700,8,0,2,4,0,18,62,1,1,3,16,18,0,0,1,0,0,7,0,0,0,3,18,0,0,6,88,10,1,5,0,0.0,8024018.0
1970-01-01 00:00:00.000015701,0,31,47,0,30,0,0,12,0,5,21,1,33,59,33,0,5,8,0,0,1,18,41,7,1,3,7,0,10,0,0,0.0,31470300.0
1970-01-01 00:00:00.000015702,26,62,0,42,73,4,7,12,0,0,15,0,0,14,0,9,5,6,18,9,12,71,1,0,21,0,0,1,37,0,1,0.0,2662042734.0
1970-01-01 00:00:00.000015703,0,18,20,4,2,0,2,1,1,3,46,14,2,43,3,16,4,17,5,2,0,13,2,1,0,1,9,6,37,0,0,0.0,1820420.0
1970-01-01 00:00:00.000015704,0,0,0,16,0,0,42,0,1,1,2,0,0,0,0,9,0,0,0,0,0,11,1,2,7,26,2,35,0,1,0,0.0,1600.0
1970-01-01 00:00:00.000015705,3,0,0,0,0,0,0,0,1,4,1,6,0,0,7,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0.0,300000.0
1970-01-01 00:00:00.000015706,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000015707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000016116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000016117,0,0,0,0,0,0,0,0,0,0,0,7,13,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000016118,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,1,37,1,0,7,0,1,0,0,0,0,12,0,0,0,15,0.0,0.0
1970-01-01 00:00:00.000016119,11,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,13,6,16,0,0,0,0,0,5,27,0,0.0,1100010.0
1970-01-01 00:00:00.000016120,0,0,52,0,0,0,18,0,17,2,0,0,2,0,0,1,0,0,0,0,25,0,1,0,14,0,0,8,0,0,0,0.0,52000.0
