,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Date
14856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,1,2,0,2000-1
14857,0,0,0,0,1,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-2
14858,0,0,0,0,2,0,0,0,0,0,0,0,54,107,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-3
14859,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,14,0,3,0,0,29,2,7,0,28,20,31,0,14,9,0,2000-4
14860,0,58,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,65,15,2,49,1,6,43,52,90,23,0,48,2000-5
14861,1,0,0,0,0,1,12,0,17,4,23,8,0,0,0,1,28,2,4,11,4,7,7,4,20,0,0,0,0,11,0,2000-6
14862,0,0,0,0,0,0,1,27,6,25,0,0,7,6,7,3,0,1,18,10,11,47,6,11,3,0,8,0,0,0,0,2000-7
14863,4,133,126,3,10,2,0,0,0,1,0,5,4,23,24,0,3,0,1,0,5,0,0,0,0,5,0,5,0,2,3,2000-8
14864,73,0,1,0,0,1,0,4,5,12,12,0,0,0,5,18,0,3,16,30,24,0,0,12,0,0,0,0,0,0,0,2000-9
14865,5,9,0,0,2,0,0,15,0,18,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,55,158,1,0,2000-10
14866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-11
14867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-12
15276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-1
15277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2001-2
15278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,23,0,1,2001-3
15279,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,2001-4
15280,18,0,48,10,6,4,0,71,52,8,32,0,0,0,0,0,0,0,0,6,40,0,27,7,0,0,23,0,0,49,1,2001-5
15281,17,0,5,20,16,61,10,23,0,7,0,18,4,6,49,6,59,6,16,29,11,1,0,0,0,0,3,9,1,9,0,2001-6
15282,40,0,1,0,0,0,0,1,0,1,3,8,11,15,0,0,0,2,0,0,21,4,12,1,12,26,5,4,10,23,2,2001-7
15283,45,0,13,0,12,9,0,5,58,0,4,5,1,5,0,5,2,6,0,10,1,0,4,1,3,10,1,1,0,4,0,2001-8
15284,13,6,0,0,0,0,15,0,19,10,2,11,1,23,0,0,2,54,7,0,0,0,0,19,25,0,0,0,0,2,0,2001-9
15285,7,3,14,13,10,6,0,0,11,6,0,0,0,8,10,1,1,21,54,0,0,0,0,0,0,0,0,1,0,0,11,2001-10
15286,0,0,0,0,0,0,3,1,0,0,1,6,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2001-11
15287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-12
15696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,5,1,0,2002-1
15697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2002-2
15698,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,8,12,0,0,0,2002-3
15699,0,0,23,10,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,25,0,2002-4
15700,8,0,2,4,0,18,62,1,1,3,16,18,0,0,1,0,0,7,0,0,0,3,18,0,0,6,88,10,1,5,0,2002-5
15701,0,31,47,0,30,0,0,12,0,5,21,1,33,59,33,0,5,8,0,0,1,18,41,7,1,3,7,0,10,0,0,2002-6
15702,26,62,0,42,73,4,7,12,0,0,15,0,0,14,0,9,5,6,18,9,12,71,1,0,21,0,0,1,37,0,1,2002-7
15703,0,18,20,4,2,0,2,1,1,3,46,14,2,43,3,16,4,17,5,2,0,13,2,1,0,1,9,6,37,0,0,2002-8
15704,0,0,0,16,0,0,42,0,1,1,2,0,0,0,0,9,0,0,0,0,0,11,1,2,7,26,2,35,0,1,0,2002-9
15705,3,0,0,0,0,0,0,0,1,4,1,6,0,0,7,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,2002-10
15706,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-11
15707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-12
16116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-1
16117,0,0,0,0,0,0,0,0,0,0,0,7,13,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2003-2
16118,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,1,37,1,0,7,0,1,0,0,0,0,12,0,0,0,15,2003-3
16119,11,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,13,6,16,0,0,0,0,0,5,27,0,2003-4
16120,0,0,52,0,0,0,18,0,17,2,0,0,2,0,0,1,0,0,0,0,25,0,1,0,14,0,0,8,0,0,0,2003-5
16121,0,0,0,0,6,93,0,45,0,8,0,10,0,0,66,0,0,3,0,2,13,86,11,14,0,0,1,61,17,37,0,2003-6
16122,22,0,0,5,12,3,8,3,14,0,3,15,7,0,2,1,2,0,0,0,0,0,0,5,8,30,0,4,23,20,4,2003-7
16123,2,5,0,0,0,0,0,0,0,4,22,23,67,8,3,0,0,0,18,4,0,9,7,6,1,0,0,0,7,13,3,2003-8
16124,3,19,7,5,0,0,8,4,0,2,2,11,29,15,0,8,1,3,2,4,4,11,6,1,3,50,61,0,0,5,0,2003-9
16125,0,0,15,1,0,0,16,16,37,15,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,11,14,0,0,0,2003-10
16126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-11
16127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,0,0,0,0,0,0,0,0,0,4,0,0,2003-12
16512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-1
16513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-2
16514,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-3
16515,0,2,0,0,23,0,35,0,0,5,14,0,0,0,0,0,0,0,28,0,0,0,0,56,0,0,3,1,0,0,0,2004-4
16516,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,39,16,48,7,1,0,0,8,0,0,30,2004-5
16517,0,0,15,13,0,0,29,0,0,0,1,29,6,39,1,0,67,0,49,21,4,39,21,70,13,25,25,7,1,1,0,2004-6
16518,0,2,13,9,14,10,12,18,6,6,0,18,12,0,6,32,5,1,13,60,2,8,0,2,16,6,1,2,2,16,3,2004-7
16519,3,0,2,5,22,9,6,0,13,4,1,9,15,8,1,0,0,0,0,9,0,1,0,1,0,31,0,50,0,0,1,2004-8
16520,6,0,7,11,22,1,0,0,3,9,32,29,156,341,23,51,20,0,20,0,0,31,12,0,0,21,2,3,13,26,0,2004-9
16521,0,1,1,7,5,8,53,113,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-10
16522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-11
16523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-12
16920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2005-1
16921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2005-2
16922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,46,11,0,0,0,0,0,92,2005-3
16923,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,23,45,1,0,7,0,2005-4
