Date,Total
2000-1,13
2000-2,44
2000-3,172
2000-4,189
2000-5,423
2000-6,165
2000-7,197
2000-8,356
2000-9,216
2000-10,278
2000-11,0
2000-12,0
2001-1,0
2001-2,1
2001-3,32
2001-4,46
2001-5,401
2001-6,386
2001-7,200
2001-8,205
2001-9,209
2001-10,166
2001-11,18
2001-12,0
2002-1,22
2002-2,4
2002-3,51
2002-4,111
2002-5,272
2002-6,373
2002-7,445
2002-8,272
2002-9,156
2002-10,52
2002-11,36
2002-12,0
2003-1,0
2003-2,25
2003-3,81
2003-4,123
2003-5,140
2003-6,473
2003-7,187
2003-8,199
2003-9,264
2003-10,134
2003-11,0
2003-12,45
2004-1,0
2004-2,0
2004-3,9
2004-4,167
2004-5,132
2004-6,476
2004-7,292
2004-8,190
2004-9,839
2004-10,208
2004-11,0
2004-12,0
2005-1,1
2005-2,3
2005-3,63
2005-4,91
2005-5,291
2005-6,259
2005-7,535
2005-8,361
2005-9,514
2005-10,417
2005-11,3
2005-12,0
2006-1,0
2006-2,0
2006-3,0
2006-4,181
2006-5,184
2006-6,326
2006-7,326
2006-8,166
2006-9,663
2006-10,61
2006-11,5
2006-12,0
2007-1,0
2007-2,30
2007-3,11
2007-4,163
2007-5,185
2007-6,628
2007-7,749
2007-8,487
2007-9,179
2007-10,220
2007-11,111
2007-12,0
2008-1,23
2008-2,56
2008-3,45
2008-4,91
2008-5,203
2008-6,577
2008-7,563
2008-8,318
2008-9,279
2008-10,227
2008-11,0
2008-12,0
2009-1,1
2009-2,1
2009-3,39
2009-4,14
2009-5,168
2009-6,170
2009-7,657
2009-8,426
2009-9,298
2009-10,74
2009-11,4
2009-12,0
2010-1,0
2010-2,48
2010-3,22
2010-4,37
2010-5,177
2010-6,308
2010-7,158
2010-8,333
2010-9,169
2010-10,174
2010-11,0
2010-12,81
2011-1,0
2011-2,0
2011-3,16
2011-4,123
2011-5,235
2011-6,314
2011-7,356
2011-8,409
2011-9,207
2011-10,112
2011-11,0
2011-12,0
2012-1,10
2012-2,1
2012-3,37
2012-4,269
2012-5,113
2012-6,175
2012-7,226
2012-8,282
2012-9,81
2012-10,38
2012-11,68
2012-12,5
2013-1,0
2013-2,8
2013-3,26
2013-4,32
2013-5,359
2013-6,325
2013-7,301
2013-8,211
2013-9,172
2013-10,131
2013-11,0
2013-12,4
2014-1,0
2014-2,12
2014-3,10
2014-4,80
2014-5,141
2014-6,342
